SYMBOL,NAME OF COMPANY,SERIES,Unnamed: 8,YahooEquiv,Yahoo_Equivalent_Code
20MICRONS,20 Microns Limited,EQ,.NS,20MICRONS.NS,"'20MICRONS.NS',"
21STCENMGM,21st Century Management Services Limited,EQ,.NS,21STCENMGM.NS,"'21STCENMGM.NS',"
3MINDIA,3M India Limited,EQ,.NS,3MINDIA.NS,"'3MINDIA.NS',"
3PLAND,3P Land Holdings Limited,EQ,.NS,3PLAND.NS,"'3PLAND.NS',"
5PAISA,5Paisa Capital Limited,EQ,.NS,5PAISA.NS,"'5PAISA.NS',"
63MOONS,63 moons technologies limited,BE,.NS,63MOONS.NS,"'63MOONS.NS',"
A2ZINFRA,A2Z Infra Engineering Limited,EQ,.NS,A2ZINFRA.NS,"'A2ZINFRA.NS',"
AAKASH,Aakash Exploration Services Limited,EQ,.NS,AAKASH.NS,"'AAKASH.NS',"
AARON,Aaron Industries Limited,EQ,.NS,AARON.NS,"'AARON.NS',"
AARTIDRUGS,Aarti Drugs Limited,EQ,.NS,AARTIDRUGS.NS,"'AARTIDRUGS.NS',"
AARTIIND,Aarti Industries Limited,EQ,.NS,AARTIIND.NS,"'AARTIIND.NS',"
AARTISURF,Aarti Surfactants Limited,EQ,.NS,AARTISURF.NS,"'AARTISURF.NS',"
AARVEEDEN,Aarvee Denims & Exports Limited,BE,.NS,AARVEEDEN.NS,"'AARVEEDEN.NS',"
AARVI,Aarvi Encon Limited,EQ,.NS,AARVI.NS,"'AARVI.NS',"
AAVAS,Aavas Financiers Limited,EQ,.NS,AAVAS.NS,"'AAVAS.NS',"
ABAN,Aban Offshore Limited,BE,.NS,ABAN.NS,"'ABAN.NS',"
ABB,ABB India Limited,EQ,.NS,ABB.NS,"'ABB.NS',"
ABBOTINDIA,Abbott India Limited,EQ,.NS,ABBOTINDIA.NS,"'ABBOTINDIA.NS',"
ABCAPITAL,Aditya Birla Capital Limited,EQ,.NS,ABCAPITAL.NS,"'ABCAPITAL.NS',"
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,.NS,ABFRL.NS,"'ABFRL.NS',"
ACC,ACC Limited,EQ,.NS,ACC.NS,"'ACC.NS',"
ACCELYA,Accelya Solutions India Limited,EQ,.NS,ACCELYA.NS,"'ACCELYA.NS',"
ACCURACY,Accuracy Shipping Limited,EQ,.NS,ACCURACY.NS,"'ACCURACY.NS',"
ACE,Action Construction Equipment Limited,EQ,.NS,ACE.NS,"'ACE.NS',"
ADANIENT,Adani Enterprises Limited,EQ,.NS,ADANIENT.NS,"'ADANIENT.NS',"
ADANIGREEN,Adani Green Energy Limited,EQ,.NS,ADANIGREEN.NS,"'ADANIGREEN.NS',"
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,.NS,ADANIPORTS.NS,"'ADANIPORTS.NS',"
ADANIPOWER,Adani Power Limited,EQ,.NS,ADANIPOWER.NS,"'ADANIPOWER.NS',"
ADFFOODS,ADF Foods Limited,EQ,.NS,ADFFOODS.NS,"'ADFFOODS.NS',"
ADL,Archidply Decor Limited,BE,.NS,ADL.NS,"'ADL.NS',"
ADROITINFO,Adroit Infotech Limited,BE,.NS,ADROITINFO.NS,"'ADROITINFO.NS',"
ADSL,Allied Digital Services Limited,EQ,.NS,ADSL.NS,"'ADSL.NS',"
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,BE,.NS,ADVANIHOTR.NS,"'ADVANIHOTR.NS',"
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,.NS,ADVENZYMES.NS,"'ADVENZYMES.NS',"
AFFLE,Affle (India) Limited,EQ,.NS,AFFLE.NS,"'AFFLE.NS',"
AGARIND,Agarwal Industrial Corporation Limited,EQ,.NS,AGARIND.NS,"'AGARIND.NS',"
AGRITECH,Agri-Tech (India) Limited,BE,.NS,AGRITECH.NS,"'AGRITECH.NS',"
